Delgraf,Delgraf
"Auto Copyright","Auto Copyright"
General,Generali
"Enable Auto Copyright","Abilita Auto Copyright"
"Updates copyright info with current year. Use ""YYYY"" placeholder.","Aggiorna le informazioni sul copyright con l'anno corrente. Usa il segnaposto ""YYYY""."
